Job Title,Company Name,Salary Estimate,Job Position,Job Acedemic Requiremnt,Job Week Cutom Font,Job Time Cutom Font,Company Field,Company Size,min_salary,max_salary,avg_salary,avg_salary(month),week_attendence,intern_time_length
市场调研（实习）实习招聘-鑫一欣实习生招聘-实习僧," 
                        鑫一欣
                          ",50-100/天,全国,不限,5天／周,实习1个月,互联网/游戏/软件,50-150,50,100,75.0,2250.0,5,1
BI实习生-北京实习招聘-货拉拉实习生招聘-实习僧," 
                        货拉拉
                          ",200-250/天,北京,本科,5天／周,实习3个月,互联网/游戏/软件,more than 2000,200,250,225.0,6750.0,5,3
生物医学人工智能实习生实习招聘-思路迪实习生招聘-实习僧," 
                        思路迪
                          ",150-250/天,上海,不限,5天／周,实习3个月,医疗/健康/制药/生物,500-2000,150,250,200.0,6000.0,5,3
IT实习生（SQL）实习招聘-第一秒电商科技实习生招聘-实习僧," 
                        第一秒电商科技
                          ",120-180/天,上海,大专,4天／周,实习3个月,互联网/游戏/软件,500-2000,120,180,150.0,4500.0,4,3
医学助理实习招聘-泰邦生物实习生招聘-实习僧," 
                        泰邦生物
                          ",200-300/天,全国,硕士,5天／周,实习6个月,医疗/健康/制药/生物,500-2000,200,300,250.0,7500.0,5,6
增补实习生实习招聘-NIO蔚来实习生招聘-实习僧," 
                        NIO蔚来
                          ",200/天,上海,本科,4天／周,实习3个月,汽车/机械/制造,more than 2000,200,200,200.0,6000.0,4,3
数据采集实习生实习招聘-Mobtech实习生招聘-实习僧," 
                        Mobtech
                          ",150-180/天,上海,大专,4天／周,实习2个月,互联网/游戏/软件,150-500,150,180,165.0,4950.0,4,2
真实世界研究实习(J11733)实习招聘-医渡云实习生招聘-实习僧," 
                        医渡云
                          ",120-200/天,北京,本科,3天／周,实习3个月,医疗/健康/制药/生物,500-2000,120,200,160.0,4800.0,3,3
国际化战略实习生实习招聘-字节跳动实习生招聘-实习僧," 
                        字节跳动
                          ",250-300/天,上海,不限,5天／周,实习3个月,互联网/游戏/软件,more than 2000,250,300,275.0,8250.0,5,3
蔚来试验中心—工程车运营实习生实习招聘-NIO蔚来实习生招聘-实习僧," 
                        NIO蔚来
                          ",200/天,上海,本科,5天／周,实习3个月,汽车/机械/制造,more than 2000,200,200,200.0,6000.0,5,3
助理人力资源数字化分析师实习招聘-CDP实习生招聘-实习僧," 
                      CDP
                          ",120-150/天,上海,本科,5天／周,实习3个月,互联网/游戏/软件,more than 2000,120,150,135.0,4050.0,5,3
行业研究（实习生）实习招聘-美团实习生招聘-实习僧," 
                        美团
                          ",200-250/天,上海,本科,5天／周,实习3个月,互联网/游戏/软件,more than 2000,200,250,225.0,6750.0,5,3
持续改进实习生(生产工艺方向）实习招聘-卡夫亨氏中国实习生招聘-实习僧," 
                        卡夫亨氏中国
                          ",150/天,上海,本科,4天／周,实习4个月,快消/百货/批发/零售,more than 2000,150,150,150.0,4500.0,4,4
战略分析师实习生实习招聘-始祖创新实习生招聘-实习僧," 
                        始祖创新
                          ",100-200/天,上海,不限,4天／周,实习2个月,互联网/游戏/软件,15-50,100,200,150.0,4500.0,4,2
系统支持实习生实习招聘-京东实习生招聘-实习僧," 
                        京东
                          ",100-200/天,北京,本科,5天／周,实习3个月,互联网/游戏/软件,more than 2000,100,200,150.0,4500.0,5,3
BI实习生实习招聘-货拉拉实习生招聘-实习僧," 
                        货拉拉
                          ",200-250/天,深圳,本科,5天／周,实习3个月,互联网/游戏/软件,more than 2000,200,250,225.0,6750.0,5,3
NielsenIQ Finance Vertical intern-JR实习招聘-尼尔森实习生招聘-实习僧," 
                        尼尔森
                          ",100/天,上海,本科,5天／周,实习4个月,农林牧渔/其他,more than 2000,100,100,100.0,3000.0,5,4
Commercial Solution assistant实习招聘-嘉会实习生招聘-实习僧," 
                        嘉会
                          ",120-180/天,上海,不限,5天／周,实习3个月,医疗/健康/制药/生物,500-2000,120,180,150.0,4500.0,5,3
数字业务部实习生实习招聘-西门子中国实习生招聘-实习僧," 
                        西门子中国
                          ",120-180/天,上海,本科,5天／周,实习3个月,汽车/机械/制造,more than 2000,120,180,150.0,4500.0,5,3
SIEMENS SMO MAC Data Analyst实习招聘-西门子中国实习生招聘-实习僧," 
                        西门子中国
                          ",120-180/天,北京,本科,4天／周,实习3个月,汽车/机械/制造,more than 2000,120,180,150.0,4500.0,4,3
SIEMENS SMO MAC Data Analyst实习招聘-西门子中国实习生招聘-实习僧," 
                        西门子中国
                          ",120-180/天,上海,本科,4天／周,实习3个月,汽车/机械/制造,more than 2000,120,180,150.0,4500.0,4,3
BI工程师实习生实习招聘-粤孵智库实习生招聘-实习僧," 
                        粤孵智库
                          ",120-150/天,广州,本科,4天／周,实习3个月,企业服务/咨询,15-50,120,150,135.0,4050.0,4,3
Retail Allocator Intern 货品管理实习生实习招聘-Under Armour实习生招聘-实习僧," 
                        Under Armour
                          ",150-180/天,上海,不限,3天／周,实习6个月,快消/百货/批发/零售,more than 2000,150,180,165.0,4950.0,3,6
Pricing Analysis Intern 产品定价实习生实习招聘-Under Armour实习生招聘-实习僧," 
                        Under Armour
                          ",150-180/天,上海,本科,3天／周,实习6个月,快消/百货/批发/零售,more than 2000,150,180,165.0,4950.0,3,6
模型分析师实习生实习招聘-睿智合创实习生招聘-实习僧," 
                        睿智合创
                          ",150-200/天,上海,本科,5天／周,实习6个月,金融/经济/投资/财会,150-500,150,200,175.0,5250.0,5,6
咨询实习生(J11733)实习招聘-医渡云实习生招聘-实习僧," 
                        医渡云
                          ",120-200/天,上海,本科,3天／周,实习3个月,医疗/健康/制药/生物,500-2000,120,200,160.0,4800.0,3,3
软件工程实习生实习招聘-博世中国实习生招聘-实习僧," 
                        博世中国
                          ",120-150/天,杭州,不限,5天／周,实习6个月,汽车/机械/制造,more than 2000,120,150,135.0,4050.0,5,6
深度学习算法实习生实习招聘-网易实习生招聘-实习僧," 
                        网易
                          ",150-200/天,杭州,本科,5天／周,实习4个月,互联网/游戏/软件,more than 2000,150,200,175.0,5250.0,5,4
量化策略实习生实习招聘-数势科技实习生招聘-实习僧," 
                        数势科技
                          ",150-300/天,北京,本科,5天／周,实习6个月,企业服务/咨询,150-500,150,300,225.0,6750.0,5,6
Analyst实习生实习招聘-益普索实习生招聘-实习僧," 
                        益普索
                          ",150/天,上海,本科,4天／周,实习4个月,企业服务/咨询,500-2000,150,150,150.0,4500.0,4,4
医学资源实习工程师实习招聘-科大讯飞实习生招聘-实习僧," 
                        科大讯飞
                          ",100-120/天,合肥,大专,5天／周,实习3个月,互联网/游戏/软件,more than 2000,100,120,110.0,3300.0,5,3
客服资源工程师实习生实习招聘-科大讯飞实习生招聘-实习僧," 
                        科大讯飞
                          ",100-120/天,合肥,大专,5天／周,实习3个月,互联网/游戏/软件,more than 2000,100,120,110.0,3300.0,5,3
印地语实习生实习招聘-科大讯飞实习生招聘-实习僧," 
                        科大讯飞
                          ",100-120/天,合肥,本科,5天／周,实习3个月,互联网/游戏/软件,more than 2000,100,120,110.0,3300.0,5,3
​【百胜中国-资金部-Treasury】实习生实习招聘-百胜餐饮实习生招聘-实习僧," 
                        百胜餐饮
                          ",120/天,上海,不限,4天／周,实习3个月,餐饮/酒店/旅游/娱乐,more than 2000,120,120,120.0,3600.0,4,3
CP Project --COP pricing team 实习生实习招聘-飞利浦实习生招聘-实习僧," 
                        飞利浦
                          ",150-180/天,上海,本科,4天／周,实习3个月,电子/通信/硬件,more than 2000,150,180,165.0,4950.0,4,3
战略实习生实习招聘-TCL实业实习生招聘-实习僧," 
                        TCL实业
                          ",150-250/天,深圳,本科,5天／周,实习3个月,电子/通信/硬件,more than 2000,150,250,200.0,6000.0,5,3
中文游戏类文本标注实习招聘-Speechocean实习生招聘-实习僧," 
                        Speechocean
                          ",150-180/天,北京,不限,5天／周,实习3个月,互联网/游戏/软件,150-500,150,180,165.0,4950.0,5,3
Data Analytics Internship实习招聘-罗技中国实习生招聘-实习僧," 
                        罗技中国
                          ",180-200/天,上海,本科,3天／周,实习4个月,电子/通信/硬件,500-2000,180,200,190.0,5700.0,3,4
Data Analyst Intern实习招聘-百特实习生招聘-实习僧," 
                        百特
                          ",120-150/天,上海,本科,3天／周,实习3个月,医疗/健康/制药/生物,more than 2000,120,150,135.0,4050.0,3,3
Data Analyst Intern实习招聘-百特实习生招聘-实习僧," 
                        百特
                          ",120-150/天,上海,本科,3天／周,实习3个月,医疗/健康/制药/生物,more than 2000,120,150,135.0,4050.0,3,3
Digital Intern实习招聘-潘多拉实习生招聘-实习僧," 
                        潘多拉
                          ",180-250/天,上海,本科,5天／周,实习3个月,快消/百货/批发/零售,more than 2000,180,250,215.0,6450.0,5,3
Merchandising Excellence Intern实习招聘-潘多拉实习生招聘-实习僧," 
                        潘多拉
                          ",150-180/天,上海,本科,5天／周,实习3个月,快消/百货/批发/零售,more than 2000,150,180,165.0,4950.0,5,3
路由规划岗实习生实习招聘-京东商城实习生招聘-实习僧," 
                        京东商城
                          ",100-120/天,上海,本科,5天／周,实习4个月,互联网/游戏/软件,more than 2000,100,120,110.0,3300.0,5,4
心理研究员（实习生）实习招聘-金融壹账通实习生招聘-实习僧," 
                        金融壹账通
                          ",150-200/天,上海,本科,4天／周,实习3个月,金融/经济/投资/财会,more than 2000,150,200,175.0,5250.0,4,3
图像算法工程师实习招聘-南京畅淼实习生招聘-实习僧," 
                        南京畅淼
                          ",150-180/天,南京,本科,5天／周,实习3个月,交通/贸易/物流,15-50,150,180,165.0,4950.0,5,3
咨询实习生(J11733)实习招聘-医渡云实习生招聘-实习僧," 
                        医渡云
                          ",120-200/天,北京,本科,3天／周,实习3个月,医疗/健康/制药/生物,500-2000,120,200,160.0,4800.0,3,3
Admin intern实习招聘-飞利浦实习生招聘-实习僧," 
                        飞利浦
                          ",150-180/天,上海,本科,3天／周,实习4个月,电子/通信/硬件,more than 2000,150,180,165.0,4950.0,3,4
量化研究实习生（交易方向）实习招聘-罡兴投资实习生招聘-实习僧," 
                        罡兴投资
                          ",500-1000/天,北京,本科,3天／周,实习3个月,基金/证券/期货/投资,15-50,500,1000,750.0,22500.0,3,3
金融需求分析师实习生（长沙）实习招聘-文思海辉实习生招聘-实习僧," 
                        文思海辉
                          ",150-300/天,长沙,本科,5天／周,实习3个月,互联网/游戏/软件,more than 2000,150,300,225.0,6750.0,5,3
项目技术实习生实习招聘-德勤杭州实习生招聘-实习僧," 
                        德勤杭州
                          ",120-150/天,杭州,本科,5天／周,实习3个月,金融/经济/投资/财会,more than 2000,120,150,135.0,4050.0,5,3
ADAS工具链开发实习生实习招聘-保隆科技实习生招聘-实习僧," 
                        保隆科技
                          ",150-180/天,上海,本科,5天／周,实习3个月,汽车/机械/制造,more than 2000,150,180,165.0,4950.0,5,3
财务分析实习生实习招聘-老佛爷百货实习生招聘-实习僧," 
                        老佛爷百货
                          ",100-120/天,北京,本科,5天／周,实习5个月,快消/百货/批发/零售,150-500,100,120,110.0,3300.0,5,5
亚太区收益管理整合中心(RMCC)实习生实习招聘-希尔顿实习生招聘-实习僧," 
                        希尔顿
                          ",100-150/天,上海,本科,5天／周,实习6个月,餐饮/酒店/旅游/娱乐,more than 2000,100,150,125.0,3750.0,5,6
经营分析师实习生实习招聘-小米实习生招聘-实习僧," 
                        小米
                          ",250-400/天,北京,本科,5天／周,实习3个月,互联网/游戏/软件,more than 2000,250,400,325.0,9750.0,5,3
模型工程师实习生实习招聘-宜信财富实习生招聘-实习僧," 
                        宜信财富
                          ",200/天,北京,本科,5天／周,实习3个月,互联网/游戏/软件,more than 2000,200,200,200.0,6000.0,5,3
研究咨询实习生实习招聘-零点有数实习生招聘-实习僧," 
                        零点有数
                          ",250-300/天,深圳,硕士,5天／周,实习6个月,企业服务/咨询,50-150,250,300,275.0,8250.0,5,6
区块链研发助理实习招聘-分期学科技实习生招聘-实习僧," 
                        分期学科技
                          ",120-180/天,成都,不限,5天／周,实习3个月,互联网/游戏/软件,15-50,120,180,150.0,4500.0,5,3
证券分析实习生实习招聘-广州经传实习生招聘-实习僧," 
                        广州经传
                          ",150-300/天,广州,不限,5天／周,实习3个月,金融/经济/投资/财会,500-2000,150,300,225.0,6750.0,5,3
研究实习分析师实习招聘-艺恩数据实习生招聘-实习僧," 
                        艺恩数据
                          ",120-150/天,北京,本科,4天／周,实习3个月,互联网/游戏/软件,50-150,120,150,135.0,4050.0,4,3
计划物流员/数据统计员实习招聘-五菱汽车实习生招聘-实习僧," 
                        五菱汽车
                          ",50-100/天,杭州,不限,6天／周,实习6个月,互联网/游戏/软件,500-2000,50,100,75.0,2250.0,6,6
行业分析实习生（元宇宙兴趣社交APP）实习招聘-心智矩阵元宇宙实习生招聘-实习僧," 
                        心智矩阵元宇宙
                          ",面议,全国,本科,3天／周,实习3个月,互联网/游戏/软件,15-50,0,0,0.0,0.0,3,3
精油分析专员实习招聘-逐本实习生招聘-实习僧," 
                        逐本
                          ",120-200/天,上海,不限,3天／周,实习3个月,快消/百货/批发/零售,150-500,120,200,160.0,4800.0,3,3
数据实习生实习招聘-亚信科技实习生招聘-实习僧," 
                        亚信科技
                          ",100-150/天,长沙,本科,5天／周,实习6个月,互联网/游戏/软件,more than 2000,100,150,125.0,3750.0,5,6
战略部实习生实习招聘-麦当劳中国实习生招聘-实习僧," 
                        麦当劳中国
                          ",150-200/天,上海,不限,3天／周,实习6个月,餐饮/酒店/旅游/娱乐,more than 2000,150,200,175.0,5250.0,3,6
库存分析与管理实习生实习招聘-信天翁实习生招聘-实习僧," 
                        信天翁
                          ",120-180/天,上海,本科,4天／周,实习4个月,互联网/游戏/软件,500-2000,120,180,150.0,4500.0,4,4
咨询助理实习生实习招聘-eTOC实习生招聘-实习僧," 
                        eTOC
                          ",120-150/天,上海,本科,5天／周,实习3个月,企业服务/咨询,less than 15,120,150,135.0,4050.0,5,3
微博审核分析实习生实习招聘-软通动力实习生招聘-实习僧," 
                        软通动力
                          ",100-120/天,成都,大专,5天／周,实习2个月,互联网/游戏/软件,more than 2000,100,120,110.0,3300.0,5,2
供应链实习生实习招聘-不凡帝范梅勒实习生招聘-实习僧," 
                        不凡帝范梅勒
                          ",120/天,上海,本科,5天／周,实习3个月,快消/百货/批发/零售,more than 2000,120,120,120.0,3600.0,5,3
销售运营实习生实习招聘-字节跳动实习生招聘-实习僧," 
                        字节跳动
                          ",120/天,北京,本科,5天／周,实习3个月,互联网/游戏/软件,more than 2000,120,120,120.0,3600.0,5,3
大数据开发 Python 实习生实习招聘-治吉科技实习生招聘-实习僧," 
                        治吉科技
                          ",150-300/天,上海,本科,5天／周,实习3个月,互联网/游戏/软件,15-50,150,300,225.0,6750.0,5,3
真实世界项目实习生实习招聘-医渡云实习生招聘-实习僧," 
                        医渡云
                          ",120-200/天,北京,本科,4天／周,实习3个月,医疗/健康/制药/生物,500-2000,120,200,160.0,4800.0,4,3
战略研究实习生实习招聘-树根互联实习生招聘-实习僧," 
                        树根互联
                          ",180-250/天,广州,本科,4天／周,实习4个月,互联网/游戏/软件,500-2000,180,250,215.0,6450.0,4,4
Research Assistant实习招聘-埃森哲实习生招聘-实习僧," 
                        埃森哲
                          ",120-150/天,上海,本科,5天／周,实习3个月,互联网/游戏/软件,more than 2000,120,150,135.0,4050.0,5,3
Digital Technology intern实习招聘-GE中国实习生招聘-实习僧," 
                        GE中国
                          ",120-150/天,上海,本科,3天／周,实习6个月,汽车/机械/制造,more than 2000,120,150,135.0,4050.0,3,6
量化研究实习生（模型研究方向）实习招聘-罡兴投资实习生招聘-实习僧," 
                        罡兴投资
                          ",500-1000/天,北京,本科,3天／周,实习3个月,基金/证券/期货/投资,15-50,500,1000,750.0,22500.0,3,3
GIS实习生实习招聘-吉威时代实习生招聘-实习僧," 
                        吉威时代
                          ",80-150/天,北京,不限,5天／周,实习3个月,互联网/游戏/软件,500-2000,80,150,115.0,3450.0,5,3
人工智能实习生/AI Intern实习招聘-纬湃汽车电子实习生招聘-实习僧," 
                        纬湃汽车电子
                          ",120-150/天,长春,本科,4天／周,实习6个月,汽车/机械/制造,more than 2000,120,150,135.0,4050.0,4,6
数据质量控制实习生实习招聘-慧科讯业实习生招聘-实习僧," 
                        慧科讯业
                          ",180-200/天,全国,本科,5天／周,实习3个月,互联网/游戏/软件,500-2000,180,200,190.0,5700.0,5,3
ETL工程师-2022届实习招聘-思迈特实习生招聘-实习僧," 
                        思迈特
                          ",150-200/天,广州,本科,5天／周,实习3个月,互联网/游戏/软件,150-500,150,200,175.0,5250.0,5,3
证券分析实习招聘-经传多赢实习生招聘-实习僧," 
                        经传多赢
                          ",120-200/天,广州,大专,5天／周,实习6个月,金融/经济/投资/财会,500-2000,120,200,160.0,4800.0,5,6
研究助理实习招聘-南复数据实习生招聘-实习僧," 
                        南复数据
                          ",150-250/天,上海,硕士,3天／周,实习3个月,互联网/游戏/软件,50-150,150,250,200.0,6000.0,3,3
粤语数据标注审核员实习招聘-有光科技实习生招聘-实习僧," 
                        有光科技
                          ",100-200/天,广州,大专,3天／周,实习2个月,互联网/游戏/软件,50-150,100,200,150.0,4500.0,3,2
市场调研实习生实习招聘-试玩互动实习生招聘-实习僧," 
                        试玩互动
                          ",200-400/天,北京,本科,5天／周,实习3个月,互联网/游戏/软件,50-150,200,400,300.0,9000.0,5,3
分析助理实习招聘- 水泥企业 实习生招聘-实习僧," 
                         水泥企业 
                          ",200-250/天,惠州,大专,5天／周,实习7个月,互联网/游戏/软件,500-2000,200,250,225.0,6750.0,5,7
战略分析实习招聘-龙腾咨询实习生招聘-实习僧," 
                        龙腾咨询
                          ",120-180/天,上海,硕士,5天／周,实习3个月,企业服务/咨询,50-150,120,180,150.0,4500.0,5,3
运营分析实习招聘-宝宇科技实习生招聘-实习僧," 
                        宝宇科技
                          ",120-180/天,上海,本科,5天／周,实习3个月,互联网/游戏/软件,50-150,120,180,150.0,4500.0,5,3
大数据医学精英实习生实习招聘-上海好卓实习生招聘-实习僧," 
                        上海好卓
                          ",150-250/天,上海,本科,3天／周,实习3个月,医疗/健康/制药/生物,50-150,150,250,200.0,6000.0,3,3
大数据开发实习生实习招聘-润合科技实习生招聘-实习僧," 
                        润合科技
                          ",200-300/天,青岛,大专,5天／周,实习3个月,互联网/移动互联网/电子商务,50-150,200,300,250.0,7500.0,5,3
实习数据分析师实习招聘-光尘顾问实习生招聘-实习僧," 
                        光尘顾问
                          ",180-200/天,北京,本科,5天／周,实习6个月,金融/经济/投资/财会,less than 15,180,200,190.0,5700.0,5,6
数据分析师实习生实习招聘-治吉科技实习生招聘-实习僧," 
                        治吉科技
                          ",150-300/天,上海,本科,4天／周,实习3个月,互联网/游戏/软件,15-50,150,300,225.0,6750.0,4,3
投资分析实习生实习招聘-顺注投资实习生招聘-实习僧," 
                        顺注投资
                          ",120-150/天,上海,硕士,5天／周,实习3个月,金融/经济/投资/财会,50-150,120,150,135.0,4050.0,5,3
证券分析实习生实习招聘-广州经传实习生招聘-实习僧," 
                        广州经传
                          ",150-180/天,广州,本科,5天／周,实习3个月,金融/经济/投资/财会,500-2000,150,180,165.0,4950.0,5,3
数据合规方向实习生实习招聘-天达共和实习生招聘-实习僧," 
                        天达共和
                          ",180/天,北京,硕士,5天／周,实习3个月,企业服务/咨询,150-500,180,180,180.0,5400.0,5,3
SIA社媒聆听部门投资项目实习生实习招聘-益普索实习生招聘-实习僧," 
                        益普索
                          ",150/天,上海,本科,5天／周,实习3个月,企业服务/咨询,500-2000,150,150,150.0,4500.0,5,3
销售助理实习生（数据运营方向）实习招聘-趴趴英语实习生招聘-实习僧," 
                        趴趴英语
                          ",150-200/天,上海,本科,4天／周,实习3个月,互联网/游戏/软件,150-500,150,200,175.0,5250.0,4,3
